tool_name,execute_function,schema_properties,exec_args,alignment,windows_safe
budget_add_entry,execute_budget_add_entry,amount|category|description|entry_type|date,amount|category|date|description|entry_type,OK,yes
budget_can_afford,execute_budget_can_afford,amount|description,amount|description,OK,yes
budget_create_goal,execute_budget_create_goal,name|target_amount|deadline,deadline|name|target_amount,OK,yes
budget_delete_entry,execute_budget_delete_entry,id,id,OK,yes
budget_delete_goal,execute_budget_delete_goal,id|name,id|name,OK,yes
budget_detect_patterns,execute_budget_detect_patterns,,,NO_SCHEMA,yes
budget_generate_report,execute_budget_generate_report,month,month,OK,yes
budget_get_entries,execute_budget_get_entries,month,month,OK,yes
budget_get_goals,execute_budget_get_goals,,,NO_SCHEMA,yes
budget_get_summary,execute_budget_get_summary,month|member_id,member_id|month,OK,yes
budget_goal_status,execute_budget_goal_status,,,NO_SCHEMA,yes
budget_parse_natural,execute_budget_parse_natural,input,input,OK,yes
budget_update_goal,execute_budget_update_goal,id|name|current_amount,current_amount|id|name,OK,yes
calc,execute_calc,expression,expression,OK,yes
conflux_can_afford,execute_can_afford,amount|item_description,amount|item_description,OK,yes
conflux_day_overview,execute_day_overview,,,NO_SCHEMA,yes
conflux_weekly_summary,execute_weekly_summary,,,NO_SCHEMA,yes
dream_active_overview,execute_dream_active_overview,,,NO_SCHEMA,yes
dream_add,execute_dream_add,title|description|category|target_date,category|description|target_date|title,OK,yes
dream_add_milestone,execute_dream_add_milestone,dream_id|title|description|target_date|sort_order,description|dream_id|sort_order|target_date|title,OK,yes
dream_add_progress,execute_dream_add_progress,dream_id|note|progress_change|ai_insight,ai_insight|dream_id|note|progress_change,OK,yes
dream_add_task,execute_dream_add_task,dream_id|milestone_id|title|description|due_date|frequency,description|dream_id|due_date|frequency|milestone_id|title,OK,yes
dream_complete_milestone,execute_dream_complete_milestone,id,id,OK,yes
dream_complete_task,execute_dream_complete_task,id,id,OK,yes
dream_delete,execute_dream_delete,id|title,id|title,OK,yes
dream_get_dashboard,execute_dream_get_dashboard,,,NO_SCHEMA,yes
dream_get_tasks,execute_dream_get_tasks,dream_id,dream_id,OK,yes
dream_get_timeline,execute_dream_get_timeline,dream_id,dream_id,OK,yes
dream_get_velocity,execute_dream_get_velocity,dream_id,dream_id,OK,yes
dream_list,execute_dream_list,status,status,OK,yes
dream_update_progress,execute_dream_update_progress,dream_id|progress_pct,dream_id|progress_pct,OK,yes
echo_counselor_complete_exercise,execute_echo_counselor_complete_exercise,exercise_id,exercise_id,OK,yes
echo_counselor_end_session,execute_echo_counselor_end_session,session_id,session_id,OK,yes
echo_counselor_flag_crisis,execute_echo_counselor_flag_crisis,session_id|content|severity|detected_text,content|detected_text|session_id|severity,OK,yes
echo_counselor_get_exercises,execute_echo_counselor_get_exercises,,,NO_SCHEMA,yes
echo_counselor_get_gratitude,execute_echo_counselor_get_gratitude,limit,limit,OK,yes
echo_counselor_get_messages,execute_echo_counselor_get_messages,session_id,session_id,OK,yes
echo_counselor_get_reflections,execute_echo_counselor_get_reflections,limit,limit,OK,yes
echo_counselor_get_state,execute_echo_counselor_get_state,,,NO_SCHEMA,yes
echo_counselor_get_weekly_letter,execute_echo_counselor_get_weekly_letter,,,NO_SCHEMA,yes
echo_counselor_mark_reflection_read,execute_echo_counselor_mark_reflection_read,session_id,session_id,OK,yes
echo_counselor_set_evening_reminder,execute_echo_counselor_set_evening_reminder,enabled|hour|minute,enabled|hour|minute,OK,yes
echo_counselor_start_session,execute_echo_counselor_start_session,opening,opening,OK,yes
echo_counselor_write_gratitude,execute_echo_counselor_write_gratitude,items|context,context|items,OK,yes
echo_create_pattern,execute_echo_create_pattern,pattern_type|title|description|confidence|data_json,confidence|data_json|description|pattern_type|title,OK,yes
echo_delete_entry,execute_echo_delete_entry,id,id,OK,yes
echo_get_entries,execute_echo_get_entries,limit|offset,limit|offset,OK,yes
echo_get_entries_by_date,execute_echo_get_entries_by_date,date,date,OK,yes
echo_get_patterns,execute_echo_get_patterns,,,NO_SCHEMA,yes
echo_get_stats,execute_echo_get_stats,,,NO_SCHEMA,yes
echo_write_entry,execute_echo_write_entry,content|mood|tags|is_voice,content|is_voice|mood|tags,OK,yes
email_receive,execute_email_receive,,,NO_SCHEMA,yes
email_send,execute_email_send,,body|subject|to,NO_SCHEMA,yes
